index,code,description
673,332510,Hardware Manufacturing
674,3326,Spring and Wire Product Manufacturing
675,33261,Spring and Wire Product Manufacturing
676,332613,Spring Manufacturing
677,332618,Other Fabricated Wire Product Manufacturing
678,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
679,33271,Machine Shops
680,332710,Machine Shops
681,33272,"Turned Product and Screw, Nut, and Bolt Manufacturing"
682,332721,Precision Turned Product Manufacturing
683,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
684,3328,"Coating, Engraving, Heat Treating, and Allied Activities"
685,33281,"Coating, Engraving, Heat Treating, and Allied Activities"
686,332811,Metal Heat Treating
687,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
688,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
689,3329,Other Fabricated Metal Product Manufacturing
690,33291,Metal Valve Manufacturing
691,332911,Industrial Valve Manufacturing
692,332912,Fluid Power Valve and Hose Fitting Manufacturing
693,332913,Plumbing Fixture Fitting and Trim Manufacturing
694,332919,Other Metal Valve and Pipe Fitting Manufacturing
695,33299,All Other Fabricated Metal Product Manufacturing
696,332991,Ball and Roller Bearing Manufacturing
697,332992,Small Arms Ammunition Manufacturing
698,332993,Ammunition (except Small Arms) Manufacturing
699,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
700,332996,Fabricated Pipe and Pipe Fitting Manufacturing
701,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
702,333,Machinery Manufacturing
703,3331,"Agriculture, Construction, and Mining Machinery Manufacturing"
704,33311,Agricultural Implement Manufacturing
705,333111,Farm Machinery and Equipment Manufacturing
706,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
707,33312,Construction Machinery Manufacturing
708,333120,Construction Machinery Manufacturing
709,33313,Mining and Oil and Gas Field Machinery Manufacturing
710,333131,Mining Machinery and Equipment Manufacturing
711,333132,Oil and Gas Field Machinery and Equipment Manufacturing
712,3332,Industrial Machinery Manufacturing
713,33324,Industrial Machinery Manufacturing
714,333241,Food Product Machinery Manufacturing
715,333242,Semiconductor Machinery Manufacturing
716,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
717,333244,Printing Machinery and Equipment Manufacturing
718,333249,Other Industrial Machinery Manufacturing
719,3333,Commercial and Service Industry Machinery Manufacturing
720,33331,Commercial and Service Industry Machinery Manufacturing
721,333314,Optical Instrument and Lens Manufacturing
722,333316,Photographic and Photocopying Equipment Manufacturing
723,333318,Other Commercial and Service Industry Machinery Manufacturing
724,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
725,33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
726,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
727,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
728,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
729,3335,Metalworking Machinery Manufacturing
730,33351,Metalworking Machinery Manufacturing
731,333511,Industrial Mold Manufacturing
732,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
733,333515,Cutting Tool and Machine Tool Accessory Manufacturing
734,333517,Machine Tool Manufacturing
735,333519,Rolling Mill and Other Metalworking Machinery Manufacturing
736,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
737,33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
738,333611,Turbine and Turbine Generator Set Units Manufacturing
739,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
740,333613,Mechanical Power Transmission Equipment Manufacturing
741,333618,Other Engine Equipment Manufacturing
742,3339,Other General Purpose Machinery Manufacturing
743,33391,Pump and Compressor Manufacturing
744,333911,Pump and Pumping Equipment Manufacturing
745,333912,Air and Gas Compressor Manufacturing
746,333913,Measuring and Dispensing Pump Manufacturing
747,33392,Material Handling Equipment Manufacturing
748,333921,Elevator and Moving Stairway Manufacturing
749,333922,Conveyor and Conveying Equipment Manufacturing
750,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
751,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
752,33399,All Other General Purpose Machinery Manufacturing
753,333991,Power-Driven Handtool Manufacturing
754,333992,Welding and Soldering Equipment Manufacturing
755,333993,Packaging Machinery Manufacturing
756,333994,Industrial Process Furnace and Oven Manufacturing
757,333995,Fluid Power Cylinder and Actuator Manufacturing
758,333996,Fluid Power Pump and Motor Manufacturing
759,333997,Scale and Balance Manufacturing
760,333999,All Other Miscellaneous General Purpose Machinery Manufacturing
761,334,Computer and Electronic Product Manufacturing
762,3341,Computer and Peripheral Equipment Manufacturing
763,33411,Computer and Peripheral Equipment Manufacturing
764,334111,Electronic Computer Manufacturing
765,334112,Computer Storage Device Manufacturing
766,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
767,3342,Communications Equipment Manufacturing
768,33421,Telephone Apparatus Manufacturing
769,334210,Telephone Apparatus Manufacturing
770,33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
771,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
772,33429,Other Communications Equipment Manufacturing
773,334290,Other Communications Equipment Manufacturing
774,3343,Audio and Video Equipment Manufacturing
775,33431,Audio and Video Equipment Manufacturing
776,334310,Audio and Video Equipment Manufacturing
777,3344,Semiconductor and Other Electronic Component Manufacturing
778,33441,Semiconductor and Other Electronic Component Manufacturing
779,334412,Bare Printed Circuit Board Manufacturing
780,334413,Semiconductor and Related Device Manufacturing
781,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
782,334417,Electronic Connector Manufacturing
783,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
784,334419,Other Electronic Component Manufacturing
785,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
786,33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
787,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
788,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
789,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
790,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
791,334514,Totalizing Fluid Meter and Counting Device Manufacturing
792,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
793,334516,Analytical Laboratory Instrument Manufacturing
794,334517,Irradiation Apparatus Manufacturing
795,334519,Other Measuring and Controlling Device Manufacturing
796,3346,Manufacturing and Reproducing Magnetic and Optical Media
797,33461,Manufacturing and Reproducing Magnetic and Optical Media
798,334613,Blank Magnetic and Optical Recording Media Manufacturing
799,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
800,335,"Electrical Equipment, Appliance, and Component Manufacturing"
801,3351,Electric Lighting Equipment Manufacturing
802,33511,Electric Lamp Bulb and Part Manufacturing
803,335110,Electric Lamp Bulb and Part Manufacturing
804,33512,Lighting Fixture Manufacturing
805,335121,Residential Electric Lighting Fixture Manufacturing
806,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
807,335129,Other Lighting Equipment Manufacturing
808,3352,Household Appliance Manufacturing
809,33521,Small Electrical Appliance Manufacturing
810,335210,Small Electrical Appliance Manufacturing
811,33522,Major Appliance Manufacturing
812,335221,Household Cooking Appliance Manufacturing
813,335222,Household Refrigerator and Home Freezer Manufacturing
814,335224,Household Laundry Equipment Manufacturing
815,335228,Other Major Household Appliance Manufacturing
816,3353,Electrical Equipment Manufacturing
817,33531,Electrical Equipment Manufacturing
818,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
819,335312,Motor and Generator Manufacturing
820,335313,Switchgear and Switchboard Apparatus Manufacturing
821,335314,Relay and Industrial Control Manufacturing
822,3359,Other Electrical Equipment and Component Manufacturing
823,33591,Battery Manufacturing
824,335911,Storage Battery Manufacturing
825,335912,Primary Battery Manufacturing
826,33592,Communication and Energy Wire and Cable Manufacturing
827,335921,Fiber Optic Cable Manufacturing
828,335929,Other Communication and Energy Wire Manufacturing
829,33593,Wiring Device Manufacturing
830,335931,Current-Carrying Wiring Device Manufacturing
831,335932,Noncurrent-Carrying Wiring Device Manufacturing
832,33599,All Other Electrical Equipment and Component Manufacturing
833,335991,Carbon and Graphite Product Manufacturing
834,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
835,336,Transportation Equipment Manufacturing
836,3361,Motor Vehicle Manufacturing
837,33611,Automobile and Light Duty Motor Vehicle Manufacturing
838,336111,Automobile Manufacturing
839,336112,Light Truck and Utility Vehicle Manufacturing
840,33612,Heavy Duty Truck Manufacturing
841,336120,Heavy Duty Truck Manufacturing
842,3362,Motor Vehicle Body and Trailer Manufacturing
843,33621,Motor Vehicle Body and Trailer Manufacturing
844,336211,Motor Vehicle Body Manufacturing
845,336212,Truck Trailer Manufacturing
846,336213,Motor Home Manufacturing
847,336214,Travel Trailer and Camper Manufacturing
848,3363,Motor Vehicle Parts Manufacturing
849,33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
850,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
851,33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing
852,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
853,33633,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
854,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
855,33634,Motor Vehicle Brake System Manufacturing
856,336340,Motor Vehicle Brake System Manufacturing
857,33635,Motor Vehicle Transmission and Power Train Parts Manufacturing
858,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
859,33636,Motor Vehicle Seating and Interior Trim Manufacturing
860,336360,Motor Vehicle Seating and Interior Trim Manufacturing
861,33637,Motor Vehicle Metal Stamping
862,336370,Motor Vehicle Metal Stamping
863,33639,Other Motor Vehicle Parts Manufacturing
864,336390,Other Motor Vehicle Parts Manufacturing
865,3364,Aerospace Product and Parts Manufacturing
866,33641,Aerospace Product and Parts Manufacturing
867,336411,Aircraft Manufacturing
868,336412,Aircraft Engine and Engine Parts Manufacturing
869,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
870,336414,Guided Missile and Space Vehicle Manufacturing
871,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
872,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
873,3365,Railroad Rolling Stock Manufacturing
874,33651,Railroad Rolling Stock Manufacturing
875,336510,Railroad Rolling Stock Manufacturing
876,3366,Ship and Boat Building
877,33661,Ship and Boat Building
878,336611,Ship Building and Repairing
879,336612,Boat Building
880,3369,Other Transportation Equipment Manufacturing
881,33699,Other Transportation Equipment Manufacturing
882,336991,"Motorcycle, Bicycle, and Parts Manufacturing"
883,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
884,336999,All Other Transportation Equipment Manufacturing
885,337,Furniture and Related Product Manufacturing
886,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing
887,33711,Wood Kitchen Cabinet and Countertop Manufacturing
888,337110,Wood Kitchen Cabinet and Countertop Manufacturing
889,33712,Household and Institutional Furniture Manufacturing
890,337121,Upholstered Household Furniture Manufacturing
891,337122,Nonupholstered Wood Household Furniture Manufacturing
892,337124,Metal Household Furniture Manufacturing
893,337125,Household Furniture (except Wood and Metal) Manufacturing
894,337127,Institutional Furniture Manufacturing
895,3372,Office Furniture (including Fixtures) Manufacturing
896,33721,Office Furniture (including Fixtures) Manufacturing
897,337211,Wood Office Furniture Manufacturing
898,337212,Custom Architectural Woodwork and Millwork Manufacturing
899,337214,Office Furniture (except Wood) Manufacturing
900,337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
901,3379,Other Furniture Related Product Manufacturing
902,33791,Mattress Manufacturing
903,337910,Mattress Manufacturing
904,33792,Blind and Shade Manufacturing
905,337920,Blind and Shade Manufacturing
906,339,Miscellaneous Manufacturing
907,3391,Medical Equipment and Supplies Manufacturing
908,33911,Medical Equipment and Supplies Manufacturing
909,339112,Surgical and Medical Instrument Manufacturing
910,339113,Surgical Appliance and Supplies Manufacturing
911,339114,Dental Equipment and Supplies Manufacturing
912,339115,Ophthalmic Goods Manufacturing
913,339116,Dental Laboratories
914,3399,Other Miscellaneous Manufacturing
915,33991,Jewelry and Silverware Manufacturing
916,339910,Jewelry and Silverware Manufacturing
917,33992,Sporting and Athletic Goods Manufacturing
918,339920,Sporting and Athletic Goods Manufacturing
919,33993,"Doll, Toy, and Game Manufacturing"
920,339930,"Doll, Toy, and Game Manufacturing"
921,33994,Office Supplies (except Paper) Manufacturing
922,339940,Office Supplies (except Paper) Manufacturing
923,33995,Sign Manufacturing
924,339950,Sign Manufacturing
925,33999,All Other Miscellaneous Manufacturing
926,339991,"Gasket, Packing, and Sealing Device Manufacturing"
927,339992,Musical Instrument Manufacturing
928,339993,"Fastener, Button, Needle, and Pin Manufacturing"
929,339994,"Broom, Brush, and Mop Manufacturing"
930,339995,Burial Casket Manufacturing
931,339999,All Other Miscellaneous Manufacturing
932,42,Wholesale Trade
933,423,"Merchant Wholesalers, Durable Goods"
934,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
935,42311,Automobile and Other Motor Vehicle Merchant Wholesalers
936,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
937,42312,Motor Vehicle Supplies and New Parts Merchant Wholesalers
938,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
939,42313,Tire and Tube Merchant Wholesalers
940,423130,Tire and Tube Merchant Wholesalers
941,42314,Motor Vehicle Parts (Used) Merchant Wholesalers
942,423140,Motor Vehicle Parts (Used) Merchant Wholesalers
943,4232,Furniture and Home Furnishing Merchant Wholesalers
944,42321,Furniture Merchant Wholesalers
945,423210,Furniture Merchant Wholesalers
946,42322,Home Furnishing Merchant Wholesalers
947,423220,Home Furnishing Merchant Wholesalers
948,4233,Lumber and Other Construction Materials Merchant Wholesalers
949,42331,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
950,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
951,42332,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
952,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
953,42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
954,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
955,42339,Other Construction Material Merchant Wholesalers
956,423390,Other Construction Material Merchant Wholesalers
957,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers
958,42341,Photographic Equipment and Supplies Merchant Wholesalers
959,423410,Photographic Equipment and Supplies Merchant Wholesalers
960,42342,Office Equipment Merchant Wholesalers
961,423420,Office Equipment Merchant Wholesalers
962,42343,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
963,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
964,42344,Other Commercial Equipment Merchant Wholesalers
965,423440,Other Commercial Equipment Merchant Wholesalers
966,42345,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
967,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
968,42346,Ophthalmic Goods Merchant Wholesalers
969,423460,Ophthalmic Goods Merchant Wholesalers
970,42349,Other Professional Equipment and Supplies Merchant Wholesalers
971,423490,Other Professional Equipment and Supplies Merchant Wholesalers
972,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers
973,42351,Metal Service Centers and Other Metal Merchant Wholesalers
974,423510,Metal Service Centers and Other Metal Merchant Wholesalers
975,42352,Coal and Other Mineral and Ore Merchant Wholesalers
976,423520,Coal and Other Mineral and Ore Merchant Wholesalers
977,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers
978,42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
979,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
980,42362,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
981,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
982,42369,Other Electronic Parts and Equipment Merchant Wholesalers
983,423690,Other Electronic Parts and Equipment Merchant Wholesalers
984,4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"
985,42371,Hardware Merchant Wholesalers
986,423710,Hardware Merchant Wholesalers
987,42372,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
988,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
989,42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
990,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
991,42374,Refrigeration Equipment and Supplies Merchant Wholesalers
992,423740,Refrigeration Equipment and Supplies Merchant Wholesalers
993,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers"
994,42381,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
995,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
996,42382,Farm and Garden Machinery and Equipment Merchant Wholesalers
997,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
998,42383,Industrial Machinery and Equipment Merchant Wholesalers
999,423830,Industrial Machinery and Equipment Merchant Wholesalers
1000,42384,Industrial Supplies Merchant Wholesalers
1001,423840,Industrial Supplies Merchant Wholesalers
1002,42385,Service Establishment Equipment and Supplies Merchant Wholesalers
1003,423850,Service Establishment Equipment and Supplies Merchant Wholesalers
1004,42386,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
1005,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
1006,4239,Miscellaneous Durable Goods Merchant Wholesalers
1007,42391,Sporting and Recreational Goods and Supplies Merchant Wholesalers
1008,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
1009,42392,Toy and Hobby Goods and Supplies Merchant Wholesalers
1010,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
1011,42393,Recyclable Material Merchant Wholesalers
1012,423930,Recyclable Material Merchant Wholesalers
1013,42394,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
1014,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
1015,42399,Other Miscellaneous Durable Goods Merchant Wholesalers
1016,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
1017,424,"Merchant Wholesalers, Nondurable Goods"
1018,4241,Paper and Paper Product Merchant Wholesalers
1019,42411,Printing and Writing Paper Merchant Wholesalers
1020,424110,Printing and Writing Paper Merchant Wholesalers
1021,42412,Stationery and Office Supplies Merchant Wholesalers
1022,424120,Stationery and Office Supplies Merchant Wholesalers
1023,42413,Industrial and Personal Service Paper Merchant Wholesalers
1024,424130,Industrial and Personal Service Paper Merchant Wholesalers
1025,4242,Drugs and Druggists Sundries Merchant Wholesalers
1026,42421,Drugs and Druggists Sundries Merchant Wholesalers
1027,424210,Drugs and Druggists Sundries Merchant Wholesalers
1028,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers"
1029,42431,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
1030,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
1031,42432,Mens and Boys Clothing and Furnishings Merchant Wholesalers
1032,424320,Mens and Boys Clothing and Furnishings Merchant Wholesalers
1033,42433,"Womens, Childrens, and Infants Clothing and Accessories Merchant Wholesalers"
1034,424330,"Womens, Childrens, and Infants Clothing and Accessories Merchant Wholesalers"
1035,42434,Footwear Merchant Wholesalers
1036,424340,Footwear Merchant Wholesalers
1037,4244,Grocery and Related Product Merchant Wholesalers
1038,42441,General Line Grocery Merchant Wholesalers
1039,424410,General Line Grocery Merchant Wholesalers
1040,42442,Packaged Frozen Food Merchant Wholesalers
1041,424420,Packaged Frozen Food Merchant Wholesalers
1042,42443,Dairy Product (except Dried or Canned) Merchant Wholesalers
1043,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers
1044,42444,Poultry and Poultry Product Merchant Wholesalers
1045,424440,Poultry and Poultry Product Merchant Wholesalers
1046,42445,Confectionery Merchant Wholesalers
1047,424450,Confectionery Merchant Wholesalers
1048,42446,Fish and Seafood Merchant Wholesalers
1049,424460,Fish and Seafood Merchant Wholesalers
1050,42447,Meat and Meat Product Merchant Wholesalers
1051,424470,Meat and Meat Product Merchant Wholesalers
1052,42448,Fresh Fruit and Vegetable Merchant Wholesalers
1053,424480,Fresh Fruit and Vegetable Merchant Wholesalers
1054,42449,Other Grocery and Related Products Merchant Wholesalers
1055,424490,Other Grocery and Related Products Merchant Wholesalers
1056,4245,Farm Product Raw Material Merchant Wholesalers
1057,42451,Grain and Field Bean Merchant Wholesalers
1058,424510,Grain and Field Bean Merchant Wholesalers
1059,42452,Livestock Merchant Wholesalers
1060,424520,Livestock Merchant Wholesalers
1061,42459,Other Farm Product Raw Material Merchant Wholesalers
1062,424590,Other Farm Product Raw Material Merchant Wholesalers
1063,4246,Chemical and Allied Products Merchant Wholesalers
1064,42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
1065,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
1066,42469,Other Chemical and Allied Products Merchant Wholesalers
1067,424690,Other Chemical and Allied Products Merchant Wholesalers
1068,4247,Petroleum and Petroleum Products Merchant Wholesalers
1069,42471,Petroleum Bulk Stations and Terminals
1070,424710,Petroleum Bulk Stations and Terminals
1071,42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
1072,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
1073,4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers"
1074,42481,Beer and Ale Merchant Wholesalers
1075,424810,Beer and Ale Merchant Wholesalers
1076,42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
1077,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
1078,4249,Miscellaneous Nondurable Goods Merchant Wholesalers
1079,42491,Farm Supplies Merchant Wholesalers
1080,424910,Farm Supplies Merchant Wholesalers
1081,42492,"Book, Periodical, and Newspaper Merchant Wholesalers"
1082,424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
1083,42493,"Flower, Nursery Stock, and Florists Supplies Merchant Wholesalers"
1084,424930,"Flower, Nursery Stock, and Florists Supplies Merchant Wholesalers"
1085,42494,Tobacco and Tobacco Product Merchant Wholesalers
1086,424940,Tobacco and Tobacco Product Merchant Wholesalers
1087,42495,"Paint, Varnish, and Supplies Merchant Wholesalers"
1088,424950,"Paint, Varnish, and Supplies Merchant Wholesalers"
1089,42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers
1090,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
1091,425,Wholesale Electronic Markets and Agents and Brokers
1092,4251,Wholesale Electronic Markets and Agents and Brokers
1093,42511,Business to Business Electronic Markets
1094,425110,Business to Business Electronic Markets
1095,42512,Wholesale Trade Agents and Brokers
1096,425120,Wholesale Trade Agents and Brokers
1097,44,Retail Trade
1098,45,Retail Trade
1099,441,Motor Vehicle and Parts Dealers
1100,4411,Automobile Dealers
1101,44111,New Car Dealers
1102,441110,New Car Dealers
1103,44112,Used Car Dealers
1104,441120,Used Car Dealers
1105,4412,Other Motor Vehicle Dealers
1106,44121,Recreational Vehicle Dealers
1107,441210,Recreational Vehicle Dealers
1108,44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers"
1109,441222,Boat Dealers
1110,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
1111,4413,"Automotive Parts, Accessories, and Tire Stores"
1112,44131,Automotive Parts and Accessories Stores
1113,441310,Automotive Parts and Accessories Stores
1114,44132,Tire Dealers
1115,441320,Tire Dealers
1116,442,Furniture and Home Furnishings Stores
1117,4421,Furniture Stores
1118,44211,Furniture Stores
1119,442110,Furniture Stores
1120,4422,Home Furnishings Stores
1121,44221,Floor Covering Stores
1122,442210,Floor Covering Stores
1123,44229,Other Home Furnishings Stores
1124,442291,Window Treatment Stores
1125,442299,All Other Home Furnishings Stores
1126,443,Electronics and Appliance Stores
1127,4431,Electronics and Appliance Stores
1128,44314,Electronics and Appliance Stores
1129,443141,Household Appliance Stores
1130,443142,Electronics Stores
1131,444,Building Material and Garden Equipment and Supplies Dealers
1132,4441,Building Material and Supplies Dealers
1133,44411,Home Centers
1134,444110,Home Centers
1135,44412,Paint and Wallpaper Stores
1136,444120,Paint and Wallpaper Stores
1137,44413,Hardware Stores
1138,444130,Hardware Stores
1139,44419,Other Building Material Dealers
1140,444190,Other Building Material Dealers
1141,4442,Lawn and Garden Equipment and Supplies Stores
1142,44421,Outdoor Power Equipment Stores
1143,444210,Outdoor Power Equipment Stores
1144,44422,"Nursery, Garden Center, and Farm Supply Stores"
1145,444220,"Nursery, Garden Center, and Farm Supply Stores"
1146,445,Food and Beverage Stores
1147,4451,Grocery Stores
1148,44511,Supermarkets and Other Grocery (except Convenience) Stores
1149,445110,Supermarkets and Other Grocery (except Convenience) Stores
1150,44512,Convenience Stores
1151,445120,Convenience Stores
1152,4452,Specialty Food Stores
1153,44521,Meat Markets
1154,445210,Meat Markets
1155,44522,Fish and Seafood Markets
1156,445220,Fish and Seafood Markets
1157,44523,Fruit and Vegetable Markets
1158,445230,Fruit and Vegetable Markets
1159,44529,Other Specialty Food Stores
1160,445291,Baked Goods Stores
1161,445292,Confectionery and Nut Stores
1162,445299,All Other Specialty Food Stores
1163,4453,"Beer, Wine, and Liquor Stores"
1164,44531,"Beer, Wine, and Liquor Stores"
1165,445310,"Beer, Wine, and Liquor Stores"
1166,446,Health and Personal Care Stores
1167,4461,Health and Personal Care Stores
1168,44611,Pharmacies and Drug Stores
1169,446110,Pharmacies and Drug Stores
1170,44612,"Cosmetics, Beauty Supplies, and Perfume Stores"
1171,446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
1172,44613,Optical Goods Stores
1173,446130,Optical Goods Stores
1174,44619,Other Health and Personal Care Stores
1175,446191,Food (Health) Supplement Stores
1176,446199,All Other Health and Personal Care Stores
1177,447,Gasoline Stations
1178,4471,Gasoline Stations
1179,44711,Gasoline Stations with Convenience Stores
1180,447110,Gasoline Stations with Convenience Stores
1181,44719,Other Gasoline Stations
1182,447190,Other Gasoline Stations
1183,448,Clothing and Clothing Accessories Stores
1184,4481,Clothing Stores
1185,44811,Mens Clothing Stores
1186,448110,Mens Clothing Stores
1187,44812,Womens Clothing Stores
1188,448120,Womens Clothing Stores
1189,44813,Childrens and Infants Clothing Stores
1190,448130,Childrens and Infants Clothing Stores
1191,44814,Family Clothing Stores
1192,448140,Family Clothing Stores
1193,44815,Clothing Accessories Stores
1194,448150,Clothing Accessories Stores
1195,44819,Other Clothing Stores
1196,448190,Other Clothing Stores
1197,4482,Shoe Stores
1198,44821,Shoe Stores
1199,448210,Shoe Stores
1200,4483,"Jewelry, Luggage, and Leather Goods Stores"
1201,44831,Jewelry Stores
1202,448310,Jewelry Stores
1203,44832,Luggage and Leather Goods Stores
1204,448320,Luggage and Leather Goods Stores
1205,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
1206,4511,"Sporting Goods, Hobby, and Musical Instrument Stores"
1207,45111,Sporting Goods Stores
1208,451110,Sporting Goods Stores
1209,45112,"Hobby, Toy, and Game Stores"
1210,451120,"Hobby, Toy, and Game Stores"
1211,45113,"Sewing, Needlework, and Piece Goods Stores"
1212,451130,"Sewing, Needlework, and Piece Goods Stores"
1213,45114,Musical Instrument and Supplies Stores
